Dag,Day,Dag meneer, hoe gaat het,Good day sir, how are you
nabije,nearby,Het nabije dorp heeft een winkel,The nearby village has a shop
verkopers,sellers,De verkopers hebben goede resultaten,The sellers have good results
Association,Association,The Association heeft nieuwe leden,The Association has new members
getuige,witness,De getuige vertelde wat hij zag,The witness told what he saw
unie,union,De Europese Unie heeft nieuwe wetten,The European Union has new laws
mengeling,mixture,Het is een mengeling van culturen,It is a mixture of cultures
nachten,nights,De nachten zijn koud in de winter,The nights are cold in the winter
geraakte,got,Hij geraakte in de problemen,He got into trouble
dieptepunt,low point,De economie bereikte een dieptepunt,The economy reached a low point
berg,mountain,De berg is hoog en steil,The mountain is high and steep
SAP,SAP,SAP is een Duits softwarebedrijf,SAP is a German software company
hierin,herein,Hierin vindt u de benodigde informatie,Herein you will find the necessary information
oproepen,call up,Zij oproepen de leden voor de vergadering,They call up the members for the meeting
uitdrukking,expression,Dit is een veelgebruikte uitdrukking,This is a commonly used expression
HP,HP,HP maakt computers en printers,HP makes computers and printers
Staat,State,De Staat der Nederlanden is oud,The State of the Netherlands is old
Verschillende,Various,Verschillende mensen hebben geklaagd,Various people have complained
gering,slight,De kans op regen is gering,The chance of rain is slight
omgezet,converted,Het bedrag is omgezet in euro's,The amount has been converted into euros
communisten,communists,De communisten verloren de verkiezingen,The communists lost the elections
drukt,presses,Hij drukt op de knop,He presses the button
woonde,lived,Zij woonde vroeger in Amsterdam,She used to live in Amsterdam
mix,mix,De mix van ingrediënten is geheim,The mix of ingredients is secret
bundel,bundle,De bundel documenten lag op het bureau,The bundle of documents lay on the desk
gerechtelijk,judicial,Het gerechtelijk onderzoek is gestart,The judicial investigation has started
Dewaay,Dewaay,Dewaay was een Belgische bank,Dewaay was a Belgian bank
langdurig,long-term,Het langdurig gebruik van medicijnen is riskant,Long-term use of medication is risky
verbaasd,surprised,Ik was verbaasd over het nieuws,I was surprised by the news
nogmaals,once more,Nogmaals bedankt voor uw hulp,Once more thanks for your help
schilderen,paint,Zij houdt van schilderen,She loves to paint
geestelijke,spiritual,De geestelijke leider sprak tot de menigte,The spiritual leader spoke to the crowd
dichtbij,nearby,Het station is dichtbij,The station is nearby
uitslag,result,De uitslag van de test was positief,The result of the test was positive
behoorlijke,decent,Hij heeft een behoorlijke salaris,He has a decent salary
doorgevoerd,implemented,De veranderingen zijn doorgevoerd,The changes have been implemented
uiteindelijke,ultimate,Het uiteindelijke doel is vrede,The ultimate goal is peace
restauratie,restoration,De restauratie van het schilderij duurde lang,The restoration of the painting took long
wielen,wheels,De wielen van de auto zijn nieuw,The wheels of the car are new
stemt,votes,Zij stemt voor de nieuwe wet,She votes for the new law
Mocht,If,Mocht je hulp nodig hebben, bel me,If you need help, call me
ingaan,enter,Wij gaan in op uw voorstel,We will respond to your proposal
hersteld,recovered,Hij is hersteld van zijn ziekte,He has recovered from his illness
Design,Design,Design is belangrijk voor dit product,Design is important for this product
ne,not (French),Ne is Frans voor niet,Ne is French for not
vredesproces,peace process,Het vredesproces verloopt moeizaam,The peace process is difficult
promoten,promote,Zij promoten hun nieuwe album,They promote their new album
richtlijnen,guidelines,De richtlijnen zijn duidelijk,The guidelines are clear
koninklijke,royal,De koninklijke familie woont in het paleis,The royal family lives in the palace
speelden,played,Zij speelden een belangrijke rol,They played an important role
Romeinse,Roman,Het Romeinse Rijk was groot,The Roman Empire was large
Pol,Pol,Pol is een verkorte vorm van Paul,Pol is a shortened form of Paul
verkiezen,prefer,Ik verkiezen koffie boven thee,I prefer coffee to tea
toelaten,allow,Zij toelaten geen uitzonderingen,They allow no exceptions
Filip,Filip,Filip is een veelvoorkomende naam in Belgie,Filip is a common name in Belgium
Nasdaq,Nasdaq,De Nasdaq is een Amerikaanse beurs,The Nasdaq is an American stock exchange
Douglas,Douglas,Douglas is een Schotse naam,Douglas is a Scottish name
degenen,those who,Degenen die te laat komen worden niet toegelaten,Those who arrive late will not be admitted
gekeken,looked,Hij heeft naar de film gekeken,He has looked at the movie
fusies,mergers,Fusies tussen bedrijven komen vaak voor,Mergers between companies occur frequently
achttiende,eighteenth,De achttiende eeuw was de Verlichting,The eighteenth century was the Enlightenment
look,look (English),Look is een Engels woord,Look is an English word
onverwachte,unexpected,Het onverwachte bezoek verraste ons,The unexpected visit surprised us
kenden,knew,Zij kenden elkaar al jaren,They knew each other for years
hausse,boom,Er was een hausse op de beurs,There was a boom on the stock market
rendabel,profitable,Het bedrijf is weer rendabel,The company is profitable again
Alexander,Alexander,Alexander de Grote veroverde veel landen,Alexander the Great conquered many countries
Daniel,Daniel,Daniel is een bijbelse naam,Daniel is a biblical name
trad,entered,Hij trad in dienst van het bedrijf,He entered the service of the company
bewonderen,admire,Ik bewonder haar moed,I admire her courage
sur,on (French),Sur is Frans voor op,Sur is French for on
Volkswagen,Volkswagen,Volkswagen maakt auto's in Duitsland,Volkswagen makes cars in Germany
Bach,Bach,Bach was een Duitse componist,Bach was a German composer
eet,eats,Zij eet graag vis,She likes to eat fish
prettig,pleasant,Het was een prettig gesprek,It was a pleasant conversation
stop,stop,Stop met roken,Stop smoking
tamelijk,rather,Het is tamelijk koud vandaag,It is rather cold today
zender,channel,De zender zendt nieuws uit,The channel broadcasts news
carnaval,carnival,Carnaval wordt gevierd in februari,Carnival is celebrated in February
herhalen,repeat,Kunt u dat herhalen,Can you repeat that
Rudy,Rudy,Rudy is een Duitse voornaam,Rudy is a German first name
It,It,It is een Engels woord,It is an English word
director,director,The director of the company resigned,The director of the company resigned
NV,NV,NV staat voor Naamloze Vennootschap,NV stands for public limited company
overdracht,transfer,De overdracht van eigendom is geregeld,The transfer of ownership is arranged
vrijgelaten,released,De gevangene is vrijgelaten,The prisoner has been released
tijdig,timely,Zij arriveerde tijdig op het station,She arrived at the station on time
Telecom,Telecom,Telecom is een sector in de economie,Telecom is a sector in the economy
realistisch,realistic,Je moet realistisch zijn,You must be realistic
islamitische,Islamic,De islamitische cultuur heeft rijke tradities,Islamic culture has rich traditions
middeleeuwse,medieval,Het is een middeleeuwse kerk,It is a medieval church
beheert,manages,Hij beheert het familiefonds,He manages the family fund
West-Vlaanderen,West Flanders,West-Vlaanderen is een provincie in Belgie,West Flanders is a province in Belgium
akkoorden,agreements,De akkoorden werden getekend,The agreements were signed
geconsolideerde,consolidated,De geconsolideerde cijfers zijn positief,The consolidated figures are positive
gelopen,walked,Hij heeft de hele weg gelopen,He walked the entire way
genoemde,mentioned,De genoemde persoon is niet aanwezig,The mentioned person is not present
genoegen,pleasure,Het was een genoegen u te ontmoeten,It was a pleasure to meet you
schept,creates,Zij schept orde in de chaos,She creates order in the chaos
geacht,esteemed,Geacht publiek, welkom,Esteemed audience, welcome
mobiele,mobile,Mobiele telefoons zijn overal,Mobile phones are everywhere
gemeen,mean,Hij was gemeen tegen zijn broer,He was mean to his brother
terras,terrace,Het terras is gezellig in de zomer,The terrace is cozy in the summer
Shanghai,Shanghai,Shanghai is een grote stad in China,Shanghai is a large city in China
uitbouwen,develop,Zij willen hun netwerk uitbouwen,They want to develop their network
telde,counted,Hij telde het geld,He counted the money
jaarverslag,annual report,Het jaarverslag wordt gepubliceerd,The annual report is published
federaal,federal,De federale regering neemt het besluit,The federal government makes the decision
verbazen,amaze,Het zal je verbazen hoe makkelijk het is,It will amaze you how easy it is
drijft,floats,De boot drijft op het water,The boat floats on the water
poten,legs,De tafel heeft vier poten,The table has four legs
Food,Food,Food is een Engels woord,Food is an English word
diplomatieke,diplomatic,De diplomatieke betrekkingen zijn hersteld,Diplomatic relations have been restored
uitgeven,spend,Zij geven veel geld uit aan kleding,They spend a lot of money on clothes
gespannen,tense,De sfeer was gespannen,The atmosphere was tense
stemrecht,voting right,Iedere burger heeft stemrecht,Every citizen has the right to vote
Jef,Jef,Jef is een Vlaamse voornaam,Jef is a Flemish first name
One,One,One is een Engels woord,One is an English word
bekendheid,fame,Zijn bekendheid groeit snel,His fame grows quickly
merendeel,majority,Het merendeel van de mensen is tevreden,The majority of people are satisfied
ruwe,rough,De ruwe diamant moet worden geslepen,The rough diamond must be cut
opvang,care,De opvang voor kinderen is goed geregeld,Childcare is well organized
adviseur,advisor,De adviseur gaf goed advies,The advisor gave good advice
lippen,lips,Haar lippen waren rood gestift,Her lips were red with lipstick
kok,chef,De kok bereidt een heerlijke maaltijd,The chef prepares a delicious meal
overwegend,predominantly,Het publiek was overwegend jong,The audience was predominantly young
Don,Don,Don is een Spaanse eretitel,Don is a Spanish title of respect
fantastisch,fantastic,Het was een fantastische ervaring,It was a fantastic experience
noem,call,Noem mij maar Peter,Just call me Peter
verbieden,forbid,Zij verbieden roken in het gebouw,They forbid smoking in the building
Verbond,Covenant,Het Verbond der Verzekeraars is actief,The Insurers Covenant is active
uitkeringen,benefits,De uitkeringen worden verhoogd,The benefits are being increased
lukken,succeed,Het zal wel lukken,It will probably succeed
holdings,holdings,De holdings hebben belangen in vele bedrijven,The holdings have interests in many companies
plekken,places,Er zijn mooie plekken om te wandelen,There are beautiful places to walk
liefhebbers,enthusiasts,Liefhebbers van klassieke muziek komen aan hun trekken,Classical music enthusiasts will get their fill
prognoses,forecasts,De prognoses voor de economie zijn gunstig,The forecasts for the economy are favorable
mengen,mix,Je moet de ingrediënten goed mengen,You must mix the ingredients well
war,was (German),War is Duits voor was,War is German for was
zitting,session,De zitting van de rechtbank begint om tien uur,The court session starts at ten o'clock
roer,rudder,Het roer van het schip is gebroken,The rudder of the ship is broken
consensus,consensus,Er is consensus over het plan,There is consensus on the plan
aannemen,assume,Ik neem aan dat je gelijk hebt,I assume that you are right
evenzeer,equally,Hij is evenzeer verantwoordelijk,He is equally responsible
gaande,going on,Wat is er gaande,What is going on
controleert,checks,De politie controleert de snelheid,The police checks the speed
erkent,recognizes,De overheid erkent het probleem,The government recognizes the problem
democratisch,democratic,Het democratisch proces is belangrijk,The democratic process is important
fans,fans,De fans juichten luid,The fans cheered loudly
afgewerkt,finished,Het werk is netjes afgewerkt,The work is neatly finished
inzetten,deploy,Zij zetten alle middelen in,They deploy all resources
belastingplichtige,taxpayer,De belastingplichtige moet aangifte doen,The taxpayer must file a return
voorleggen,submit,Ik zal het voorstel aan de raad voorleggen,I will submit the proposal to the council
ordening,organization,De ordening van de documenten duurt lang,The organization of the documents takes long
publiciteit,publicity,De publiciteit rond de zaak is groot,The publicity around the case is great
pleidooi,plea,Zijn pleidooi was overtuigend,His plea was convincing
populariteit,popularity,Zijn populariteit is toegenomen,His popularity has increased
wantrouwen,distrust,Er heerst wantrouwen tussen de partijen,There is distrust among the parties
gepresenteerd,presented,Het rapport is gepresenteerd aan het bestuur,The report has been presented to the board
El,El (Spanish),El is Spaans voor de,El is Spanish for the
wekken,arouse,Het nieuws wekte veel belangstelling,The news aroused a lot of interest
klus,job,Het was een moeilijke klus,It was a difficult job
Portugese,Portuguese,De Portugese wijn is goed,The Portuguese wine is good
allereerste,very first,Dit is de allereerste keer dat ik hier ben,This is the very first time I am here
Zuid-Amerika,South America,Zuid-Amerika heeft een rijke natuur,South America has rich nature
discount,discount,De discount op de producten is tijdelijk,The discount on products is temporary
people,people (English),People is een Engels woord,People is an English word
Thierry,Thierry,Thierry is een Franse voornaam,Thierry is a French first name
affiches,posters,De affiches hangen door de hele stad,The posters hang throughout the city
filialen,branches,De bank heeft filialen in het hele land,The bank has branches throughout the country
Mannen,Men,Mannen en vrouwen zijn gelijkwaardig,Men and women are equal
vertrouwde,trusted,Hij is een vertrouwde vriend,He is a trusted friend
slogan,slogan,De slogan van het bedrijf is bekend,The company slogan is well known
Zodat,So that,Zodat niemand achterblijft,So that no one is left behind
herkomst,origin,De herkomst van het product is onbekend,The origin of the product is unknown
luik,panel,Het luik van het raam is gesloten,The window panel is closed
wisselen,exchange,Zij wisselen geld op het station,They exchange money at the station
uitzonderingen,exceptions,Er zijn geen uitzonderingen mogelijk,There are no exceptions possible
renovatie,renovation,De renovatie van het gebouw duurt maanden,The renovation of the building takes months
bad,bath,Het bad is gevuld met warm water,The bath is filled with warm water
bekendste,best-known,Dit is de bekendste kathedraal van het land,This is the best-known cathedral of the country
verzekeringen,insurances,Verzekeringen zijn verplicht,Insurances are mandatory
benzine,gasoline,De prijs van benzine is gestegen,The price of gasoline has risen
middellange,medium-term,De middellange vooruitzichten zijn goed,The medium-term prospects are good
ophalen,pick up,Ik moet de kinderen ophalen,I must pick up the children
Ostaijen,Ostaijen,Ostaijen is een Vlaamse dichter,Ostaijen is a Flemish poet
multinationals,multinationals,Multinationals hebben veel invloed,Multinationals have a lot of influence
Groningse,of Groningen,De Groningse universiteit is oud,The University of Groningen is old
indertijd,at the time,Indertijd was alles anders,At the time everything was different
bereik,range,Het bereik van het signaal is groot,The range of the signal is large
front,front,Het front van de storm nadert,The front of the storm is approaching
meedoen,participate,Wil je meedoen met het spel,Do you want to participate in the game
adviezen,advice,De adviezen van de deskundigen zijn duidelijk,The advice from the experts is clear
beweegt,moves,De aarde beweegt rond de zon,The earth moves around the sun
berekening,calculation,De berekening klopt niet,The calculation is not correct
crash,crash,De crash van de beurs was onverwacht,The stock market crash was unexpected
Klerk,Klerk,Klerk is een achternaam van Nederlandse oorsprong,Klerk is a surname of Dutch origin
Jazz,Jazz,Jazz muziek ontstond in Amerika,Jazz music originated in America
rijtje,row,Zet de stoelen in een rijtje,Put the chairs in a row
vliegt,flies,Het vliegtuig vliegt naar Spanje,The airplane flies to Spain
hete,hot,De hete soep brandde mijn tong,The hot soup burned my tongue
verwerking,processing,De verwerking van de data is klaar,The processing of the data is done
gespreid,spread,De kosten worden gespreid over het jaar,The costs are spread over the year
Marokko,Morocco,Marokko is een land in Noord-Afrika,Morocco is a country in North Africa
Chirac,Chirac,Chirac was president van Frankrijk,Chirac was president of France
Nooit,Never,Nooit zal ik dat vergeten,Never will I forget that
bloem,flower,De bloem staat in een vaas,The flower is in a vase
zaakvoerder,manager,De zaakvoerder leidt het bedrijf,The manager runs the company
overdag,during the day,Overdag is het warm,During the day it is warm
gezichten,faces,De gezichten van de kinderen straalden,The faces of the children shone
buik,stomach,Mijn buik doet pijn,My stomach hurts
opgeslagen,stored,De gegevens zijn opgeslagen in de computer,The data is stored in the computer
bezighouden,keep busy,Wat houdt jou bezig,What keeps you busy
actrice,actress,De actrice speelde de hoofdrol,The actress played the lead role
vocht,fought,Zij vocht voor haar rechten,She fought for her rights
Koerdische,Kurdish,De Koerdische bevolking zoekt erkenning,The Kurdish population seeks recognition
vooraan,at the front,Hij stond vooraan in de rij,He stood at the front of the line
Airlines,Airlines,Airlines is een Engels woord,Airlines is an English word
Kelchtermans,Kelchtermans,Kelchtermans is een Belgische politicus,Kelchtermans is a Belgian politician
Croo,Croo,Croo is een Belgische achternaam,Croo is a Belgian surname
contrast,contrast,Het contrast tussen licht en donker is groot,The contrast between light and dark is great
Daarvan,Thereof,Daarvan heb ik geen verstand,I have no knowledge of that
commissaris,commissioner,De commissaris van politie gaf uitleg,The police commissioner gave an explanation
Fransman,Frenchman,De Fransman bestelde een croissant,The Frenchman ordered a croissant
im,in (German),Im is Duits voor in,Im is German for in
Distrigas,Distrigas,Distrigas was een Belgisch gasbedrijf,Distrigas was a Belgian gas company
volumes,volumes,De volumes van de verkoop stijgen,The sales volumes are rising
harder,harder,Je moet harder werken,You must work harder
oogst,harvest,De oogst dit jaar is goed,The harvest this year is good
beheerst,controlled,Hij beheerst zijn emoties goed,He controls his emotions well
opvolging,succession,De opvolging van de directeur is geregeld,The succession of the director is arranged
Ach,Oh,Ach, wat jammer,Oh, what a pity
variant,variant,Dit is een variant op het origineel,This is a variant of the original
steek,stitch,Zij maakte een kleine steek in de stof,She made a small stitch in the fabric
vatten,grasp,Ik vat niet wat hij bedoelt,I do not grasp what he means
rechters,judges,De rechters doen hun uitspraak,The judges make their ruling
songs,songs,De songs van de band zijn populair,The songs of the band are popular
faam,fame,Zijn faam verspreidde zich snel,His fame spread quickly
Maurice,Maurice,Maurice is een Franse naam,Maurice is a French name
strak,tight,De lijn is strak gespannen,The line is pulled tight
erkennen,acknowledge,Zij erkennen hun fout,They acknowledge their mistake
adverteerders,advertisers,De adverteerders kopen ruimte in de krant,The advertisers buy space in the newspaper
verdriet,sorrow,Het verdriet was groot na het verlies,The sorrow was great after the loss
schiet,shoots,Hij schiet op het doel,He shoots at the goal
trouwe,faithful,Zij is een trouwe vriendin,She is a faithful friend
etnische,ethnic,Etnische minderheden worden beschermd,Ethnic minorities are protected
Music,Music,Music is een Engels woord,Music is an English word
link,link,Klik op de link voor meer informatie,Click the link for more information
United,United,United is een Engels woord,United is an English word
Paleis,Palace,Het Paleis op de Dam is een bekende plek,The Palace on the Dam is a well-known place
pakte,grabbed,Hij pakte zijn jas en vertrok,He grabbed his coat and left
betrekken,involve,Zij betrekken iedereen bij het gesprek,They involve everyone in the conversation
album,album,Het nieuwe album is uitgebracht,The new album has been released
stalen,stole,Zij stalen de juwelen uit de kluis,They stole the jewelry from the safe
koeien,cows,De koeien staan in de wei,The cows are in the meadow
kilometers,kilometers,De afstand is honderd kilometers,The distance is a hundred kilometers
componenten,components,De componenten worden apart verkocht,The components are sold separately
twintigste,twentieth,De twintigste eeuw was een tijd van vooruitgang,The twentieth century was a time of progress
gelukt,succeeded,Het is gelukt om de deadline te halen,We succeeded in meeting the deadline
uitzending,broadcast,De uitzending begint om acht uur,The broadcast starts at eight o'clock
écht,real,Dat is écht waar,That is really true
Israelische,Israeli,De Israelische ambassade is in Brussel,The Israeli embassy is in Brussels
dirigent,conductor,De dirigent leidde het orkest,The conductor led the orchestra
Picasso,Picasso,Picasso was een Spaanse schilder,Picasso was a Spanish painter
José,Jose,José is een Spaanse naam,Jose is a Spanish name
locatie,location,De locatie van het feest is bekend,The location of the party is known
betaal,pay,Betaal aan de kassa,Pay at the counter
deSingel,deSingel,deSingel is een kunstencentrum in Antwerpen,deSingel is an arts center in Antwerp
gemaakte,made,De gemaakte afspraken zijn belangrijk,The agreements made are important
zalen,halls,De zalen zijn gereserveerd voor het evenement,The halls are reserved for the event
Professor,Professor,De professor geeft een lezing,The professor gives a lecture
