locaties,locations,De locaties zijn geheim,The locations are secret
Heineken,Heineken,Heineken is een Nederlands bier,Heineken is a Dutch beer
putten,wells,De putten zijn diep,The wells are deep
Financial,financial,Financial stability is belangrijk,Financial stability is important
bevestiging,confirmation,De bevestiging komt per post,The confirmation comes by mail
Cannes,Cannes,Cannes is bekend om het filmfestival,Cannes is famous for the film festival
continu,continuous,Het proces is continu,The process is continuous
actualiteit,current affairs,De actualiteit is interessant,The current affairs are interesting
Weinig,little,Er is weinig tijd,There is little time
koffer,suitcase,De koffer is zwaar,The suitcase is heavy
impliceert,implies,Dit impliceert een probleem,This implies a problem
Samenwerking,cooperation,De samenwerking verloopt goed,The cooperation goes well
vermoorde,murdered,Het vermoorde slachtoffer was jong,The murdered victim was young
Red,save,Red het document,Save the document
winstgevend,profitable,Het bedrijf is winstgevend,The company is profitable
Lippens,Lippens,Meneer Lippens is de voorzitter,Mr. Lippens is the chairman
geesten,ghosts,De geesten spoken in het kasteel,The ghosts haunt the castle
verplichten,oblige,Zij verplichten ons te betalen,They oblige us to pay
primeur,first,De primeur is voor ons,The first is for us
beoordeling,assessment,De beoordeling is positief,The assessment is positive
expertise,expertise,Hij heeft veel expertise,He has a lot of expertise
gecompenseerd,compensated,De schade werd gecompenseerd,The damage was compensated
vooraanstaande,prominent,Hij is een vooraanstaand politicus,He is a prominent politician
doorgaat,continues,Het feest gaat door,The party continues
overkant,opposite side,Aan de overkant is het park,On the opposite side is the park
Rijk,kingdom,Het Rijk is groot,The kingdom is large
vondst,discovery,De vondst was belangrijk,The discovery was important
zoet,sweet,De cake is zoet,The cake is sweet
Lucas,Lucas,Lucas is mijn broer,Lucas is my brother
Amro,Amro,Amro is een bank,Amro is a bank
mét,with,Hij komt mét zijn vrouw,He comes with his wife
verantwoordelijken,those responsible,De verantwoordelijken worden gezocht,Those responsible are sought
rentedaling,interest rate drop,De rentedaling is gunstig,The interest rate drop is favorable
veiliger,safer,Deze wijk is veiliger,This neighborhood is safer
bruin,brown,De hond is bruin,The dog is brown
racisme,racism,Racisme is verkeerd,Racism is wrong
compartiment,compartment,Het compartiment is klein,The compartment is small
hardware,hardware,De hardware moet worden geüpdatet,The hardware needs to be updated
warenhuizen,department stores,De warenhuizen zijn groot,The department stores are large
mislukken,fail,Het plan zal mislukken,The plan will fail
fungeert,functions,Hij fungeert als voorzitter,He functions as chairman
stromen,flow,De rivieren stromen naar zee,The rivers flow to the sea
luistert,listens,Hij luistert naar muziek,He listens to music
terugvallen,relapse,Hij mag niet terugvallen,He must not relapse
borst,chest,Hij heeft pijn op de borst,He has chest pain
prijkt,adorns,De kroon prijkt op zijn hoofd,The crown adorns his head
reclamebureau,advertising agency,Hij werkt bij een reclamebureau,He works at an advertising agency
monumentale,monumental,Het is een monumentaal gebouw,It is a monumental building
voorzichtige,cautious,Wees voorzichtig,Be cautious
ecu,ECU,De ecu was een Europese munt,The ECU was a European currency
sexy,sexy,Zij draagt een sexy jurk,She wears a sexy dress
Wetstraat,Law Street,De Wetstraat is in Brussel,The Law Street is in Brussels
nucleaire,nuclear,De nucleaire installatie is veilig,The nuclear facility is safe
identiek,identical,De twee zijn identiek,The two are identical
waardevolle,valuable,Het is een waardevol schilderij,It is a valuable painting
beluisteren,listen to,Beluister de muziek,Listen to the music
verbindt,connects,De brug verbindt de twee steden,The bridge connects the two cities
vissers,fishermen,De vissers varen op zee,The fishermen sail on the sea
Niettemin,nevertheless,Niettemin gaan we door,Nevertheless we continue
voorbehouden,reserved,Alle rechten voorbehouden,All rights reserved
Zagreb,Zagreb,Zagreb is de hoofdstad van Kroatië,Zagreb is the capital of Croatia
An,An,An is een meisjesnaam,An is a girl's name
primaire,primary,De primaire school is dichtbij,The primary school is nearby
aangevoerd,led,Hij heeft de groep aangevoerd,He led the group
jouw,your,Dit is jouw boek,This is your book
bladzijde,page,Open je boek op bladzijde tien,Open your book to page ten
weldra,soon,Weldra is het zomer,Soon it will be summer
piloten,pilots,De piloten vliegen het vliegtuig,The pilots fly the airplane
batterijen,batteries,De batterijen zijn leeg,The batteries are empty
graven,dig,Zij graven een gat,They dig a hole
ateliers,studios,De ateliers zijn in het centrum,The studios are in the center
Anciaux,Anciaux,Meneer Anciaux is de minister,Mr. Anciaux is the minister
uitvinding,invention,De uitvinding is geniaal,The invention is genius
spoedig,shortly,Hij komt spoedig,He comes shortly
blokken,blocks,De blokken zijn van hout,The blocks are made of wood
geassocieerd,associated,Hij is geassocieerd met het project,He is associated with the project
gemerkt,noticed,Heb je het gemerkt,Did you notice it
besparing,saving,De besparing is aanzienlijk,The saving is significant
psychologisch,psychological,Het is een psychologisch probleem,It is a psychological problem
indienen,submit,Indien het formulier voor vrijdag,Submit the form before Friday
vakanties,vacations,De vakanties zijn leuk,Vacations are fun
bruggen,bridges,De bruggen zijn oud,The bridges are old
Sir,Sir,Sir, please come here,Sir, please come here
vuurwerk,fireworks,Het vuurwerk is prachtig,The fireworks are beautiful
verkennen,explore,Zij verkennen de stad,They explore the city
aux,aux,Il va aux toilettes,He goes to the toilet
humanitaire,humanitarian,De humanitaire hulp is onderweg,The humanitarian aid is on its way
Fernand,Fernand,Fernand is mijn oom,Fernand is my uncle
Corluy,Corluy,Meneer Corluy is de eigenaar,Mr. Corluy is the owner
beleefd,polite,De jongen is beleefd,The boy is polite
achterban,supporters,Zijn achterban is trouw,His supporters are loyal
duistere,dark,Het is een duistere nacht,It is a dark night
hartje,heart,Het hartje van de stad is druk,The heart of the city is busy
Italie,Italy,Italië is een mooi land,Italy is a beautiful country
verregaande,far-reaching,Het heeft verregaande gevolgen,It has far-reaching consequences
rapporten,reports,De rapporten zijn klaar,The reports are ready
vervoeren,transport,Zij vervoeren goederen per schip,They transport goods by ship
Noorse,Norwegian,De Noorse vlag is rood,The Norwegian flag is red
klooster,monastery,Het klooster is oud,The monastery is old
bedoel,mean,Wat bedoel je,What do you mean
gitaar,guitar,Hij speelt gitaar,He plays guitar
noodgedwongen,out of necessity,Hij verkoopt noodgedwongen zijn huis,He sells his house out of necessity
vasthouden,hold,Vasthouden aan het plan,Hold on to the plan
roots,roots,Zijn roots liggen in Marokko,His roots are in Morocco
uitpakken,unpack,Zij pakken de koffers uit,They unpack the suitcases
Das,that,Das ist gut,That is good
gangen,corridors,De gangen zijn lang,The corridors are long
aangesteld,appointed,Hij werd aangesteld als directeur,He was appointed as director
Schrijf,write,Schrijf je naam hier,Write your name here
troost,comfort,Hij zoekt troost,He seeks comfort
getuigenissen,testimonies,De getuigenissen zijn geloofwaardig,The testimonies are credible
schok,shock,Het nieuws was een schok,The news was a shock
hat,has,Er hat es gesagt,He has said it
salade,salad,De salade is vers,The salad is fresh
Knokke,Knokke,Knokke is een badplaats,Knokke is a seaside resort
Creyf's,Creyf's,Creyf's is een uitzendbureau,Creyf's is a temp agency
recupereren,recover,Hij recupereert van zijn ziekte,He recovers from his illness
boel,lot,De hele boel is kapot,The whole lot is broken
verspreiding,spread,De verspreiding van het virus is snel,The spread of the virus is fast
handige,handy,Het is een handig apparaat,It is a handy device
erotische,erotic,Het is een erotische film,It is an erotic film
hedendaags,contemporary,De hedendaagse kunst is interessant,Contemporary art is interesting
Werken,works,De werken van Rembrandt zijn beroemd,The works of Rembrandt are famous
autonome,autonomous,De regio is autonoom,The region is autonomous
gemengd,mixed,Het is een gemengde school,It is a mixed school
paddestoelen,mushrooms,De paddestoelen zijn giftig,The mushrooms are poisonous
inleveren,hand in,Je moet je huiswerk inleveren,You must hand in your homework
optreedt,performs,Hij treedt vanavond op,He performs tonight
ontmoette,met,Hij ontmoette zijn vrouw in Parijs,He met his wife in Paris
verantwoorden,justify,Hij moet zijn acties verantwoorden,He must justify his actions
tournee,tour,De band gaat op tournee,The band goes on tour
grootvader,grandfather,Mijn grootvader is tachtig,My grandfather is eighty
Vooreerst,first of all,Vooreerst wil ik u bedanken,First of all I want to thank you
Arbed,Arbed,Arbed is een staalbedrijf,Arbed is a steel company
voorspellingen,predictions,De voorspellingen zijn positief,The predictions are positive
getest,tested,Het product werd getest,The product was tested
lawaai,noise,Er is veel lawaai,There is a lot of noise
Station,station,Het station is groot,The station is large
inspraak,input,De werknemers hebben inspraak,The employees have input
ongelukkig,unhappy,Hij is ongelukkig,He is unhappy
reikt,reaches,Hij reikt naar de sterren,He reaches for the stars
noden,needs,De noden van de mensen zijn groot,The needs of the people are great
aantrekkelijker,more attractive,Deze aanbieding is aantrekkelijker,This offer is more attractive
Home,home,Home sweet home,Home sweet home
Nederlanden,Netherlands,De Nederlanden zijn laaggelegen,The Netherlands are low-lying
ere,honor,Ter ere van hem,In his honor
fungeren,act as,Hij fungeert als voorzitter,He acts as chairman
vermeende,alleged,De vermeende dader is gearresteerd,The alleged perpetrator was arrested
Anna,Anna,Anna is een mooie naam,Anna is a beautiful name
unaniem,unanimous,Het besluit was unaniem,The decision was unanimous
buien,showers,Er zijn buien voorspeld,Showers are forecast
magistratuur,judiciary,De magistratuur is onafhankelijk,The judiciary is independent
son,son,Mon fils est mon son,My son is my son
porselein,porcelain,Het porselein is breekbaar,The porcelain is fragile
Zwitsers,Swiss,De Zwitserse kaas is lekker,The Swiss cheese is tasty
Commissie-Dutroux,Dutroux Commission,De Commissie-Dutroux onderzoekt de zaak,The Dutroux Commission investigates the case
Electric,electric,The electric car is quiet,The electric car is quiet
weigering,refusal,Zijn weigering was verrassend,His refusal was surprising
verkeert,finds itself,Het bedrijf verkeert in problemen,The company finds itself in trouble
gestelde,stated,Het gestelde doel is ambitieus,The stated goal is ambitious
afgeleide,derivative,Het is een afgeleide van melk,It is a derivative of milk
volksgezondheid,public health,De volksgezondheid is belangrijk,Public health is important
CAO,collective labor agreement,De CAO wordt onderhandeld,The collective labor agreement is being negotiated
speculatie,speculation,Speculatie is riskant,Speculation is risky
gehandeld,traded,Hij heeft in aandelen gehandeld,He traded in stocks
bijbel,bible,De bijbel is een heilig boek,The bible is a holy book
koesteren,cherish,Koester de mooie momenten,Cherish the beautiful moments
trainen,train,Zij trainen elke dag,They train every day
dichterbij,closer,Kom dichterbij,Come closer
groots,grand,Het was een groots feest,It was a grand party
Volksgezondheid,Public Health,Het ministerie van Volksgezondheid is actief,The Ministry of Public Health is active
mechanisme,mechanism,Het mechanisme werkt goed,The mechanism works well
monetair,monetary,Het monetair beleid is streng,The monetary policy is strict
reserve,reserve,De reserve is voldoende,The reserve is sufficient
leefden,lived,Zij leefden in armoede,They lived in poverty
inschrijvingen,registrations,De inschrijvingen zijn gestart,The registrations have started
suggesties,suggestions,Heb je suggesties,Do you have suggestions
doorbroken,broken through,Zij hebben het record doorbroken,They have broken through the record
zeventiende,seventeenth,De zeventiende eeuw was belangrijk,The seventeenth century was important
individuen,individuals,De individuen zijn uniek,The individuals are unique
Openbare,public,De openbare bibliotheek is gratis,The public library is free
publiceert,publishes,Hij publiceert een boek,He publishes a book
vertolking,interpretation,De vertolking was prachtig,The interpretation was beautiful
hoofdzetel,head office,De hoofdzetel is in Amsterdam,The head office is in Amsterdam
afschrijvingen,depreciation,De afschrijvingen zijn hoog,The depreciation is high
Ernst,Ernst,Ernst is een Duitse naam,Ernst is a German name
vergissing,mistake,Dat was een vergissing,That was a mistake
Jansen,Jansen,Jansen is een veel voorkomende naam,Jansen is a common name
dook,dived,Hij dook in het water,He dived into the water
gehandhaafd,maintained,De regels werden gehandhaafd,The rules were maintained
naakte,naked,Het naakte lichaam was bedekt,The naked body was covered
stammen,tribes,De stammen leven in het oerwoud,The tribes live in the jungle
regelt,regulates,Hij regelt de zaken,He regulates the matters
beeldende,visual,Beeldende kunst is mooi,Visual art is beautiful
faciliteiten,facilities,De faciliteiten zijn uitstekend,The facilities are excellent
zwemmen,swim,Zij zwemmen in het meer,They swim in the lake
expert,expert,Hij is een expert,He is an expert
uitgereikt,awarded,De prijs werd uitgereikt,The prize was awarded
meende,thought,Hij meende het goed,He meant well
conventionele,conventional,Het is een conventionele aanpak,It is a conventional approach
zenders,channels,De zenders zijn digitaal,The channels are digital
verslagen,reports,De verslagen zijn interessant,The reports are interesting
Vreemd,strange,Het is vreemd,It is strange
hoed,hat,De hoed is rood,The hat is red
geladen,loaded,De vrachtwagen is geladen,The truck is loaded
invulling,interpretation,De invulling is flexibel,The interpretation is flexible
moorden,murders,De moorden zijn opgelost,The murders are solved
schema,schedule,Het schema is druk,The schedule is busy
dozijn,dozen,Een dozijn eieren,A dozen eggs
Maak,make,Maak het af,Finish it
Miami,Miami,Miami is een stad in Florida,Miami is a city in Florida
onvermijdelijke,unavoidable,Het is onvermijdelijk,It is unavoidable
toeleggen,apply,Zij leggen zich toe op kwaliteit,They apply themselves to quality
diversificatie,diversification,Diversificatie vermindert risico,Diversification reduces risk
Merrill,Merrill,Merrill Lynch is een bank,Merrill Lynch is a bank
Corp,Corp,The corp is based in New York,The corp is based in New York
import,import,De import is gedaald,The import has decreased
hielp,helped,Hij hielp zijn moeder,He helped his mother
Staatssecretaris,Secretary of State,De Staatssecretaris geeft een toespraak,The Secretary of State gives a speech
knoop,knot,De knoop is los,The knot is loose
criterium,criterion,Het criterium is duidelijk,The criterion is clear
accepteren,accept,Ik accepteer je aanbod,I accept your offer
Development,development,Development is belangrijk voor de economie,Development is important for the economy
soortgelijke,similar,Het is een soortgelijk probleem,It is a similar problem
nieuwkomer,newcomer,De nieuwkomer is welkom,The newcomer is welcome
lezingen,lectures,De lezingen zijn interessant,The lectures are interesting
gidsen,guides,De gidsen tonen de weg,The guides show the way
feesten,parties,De feesten zijn leuk,The parties are fun
Fokker,Fokker,Fokker maakte vliegtuigen,Fokker made airplanes
klimmen,climb,Zij klimmen de berg op,They climb the mountain
can,can,I can do it,I can do it
aangedreven,powered,De auto is elektrisch aangedreven,The car is electrically powered
echtgenoten,spouses,De echtgenoten zijn aanwezig,The spouses are present
monumenten,monuments,De monumenten zijn historisch,The monuments are historical
Beiden,both,Beiden zijn goed,Both are good
koelkast,refrigerator,De koelkast is vol,The refrigerator is full
aangerekend,charged,Het werd aangerekend op de rekening,It was charged to the account
bedoelt,means,Wat bedoelt hij,What does he mean
interactieve,interactive,Het is een interactieve les,It is an interactive lesson
compacte,compact,Hij heeft een compacte auto,He has a compact car
jongeman,young man,De jongeman is aardig,The young man is kind
hel,hell,Dit is de hel,This is hell
strenger,stricter,De regels zijn strenger geworden,The rules have become stricter
Karl,Karl,Karl is een Duitse naam,Karl is a German name
Chrysler,Chrysler,Chrysler maakt auto's,Chrysler makes cars
human,human,It is a human right,It is a human right
Leon,Leon,Leon is mijn neef,Leon is my cousin
Columbia,Columbia,Columbia is een Amerikaanse stad,Columbia is an American city
veilingen,auctions,De veilingen zijn populair,The auctions are popular
Din,Din,Din is een Vietnamese naam,Din is a Vietnamese name
ontstonden,originated,De problemen ontstonden later,The problems originated later
beloond,rewarded,Hij werd beloond voor zijn werk,He was rewarded for his work
bezorgt,delivers,De postbode bezorgt de brief,The postman delivers the letter
wanden,walls,De wanden zijn wit,The walls are white
First,first,First impressions are important,First impressions are important
verlengd,extended,De deadline is verlengd,The deadline is extended
teleurgesteld,disappointed,Hij is teleurgesteld,He is disappointed
bloei,bloom,De rozen zijn in bloei,The roses are in bloom
drietal,three,Het drietal vertrok vroeg,The three left early
Zuid-Limburg,South Limburg,Zuid-Limburg is mooi,South Limburg is beautiful
Concreet,concrete,Geef een concreet voorbeeld,Give a concrete example
Immers,after all,Hij is immers de baas,He is the boss after all
deeg,dough,Het deeg is gerezen,The dough has risen
betaalbaar,affordable,De prijs is betaalbaar,The price is affordable
platform,platform,Het platform is stabiel,The platform is stable
verdeelt,divides,De rivier verdeelt de stad,The river divides the city
Ltd,Ltd,The company is registered as Ltd,The company is registered as Ltd
luxueuze,luxurious,Het hotel is luxueus,The hotel is luxurious
Island,island,Island in the sun,Island in the sun
haute,haute,Haute couture is duur,Haute couture is expensive
kook,cook,Ik kook elke dag,I cook every day
Florida,Florida,Florida is warm,Florida is warm
his,his,This is his book,This is his book
Oost-Europese,Eastern European,De Oost-Europese landen groeien,The Eastern European countries are growing
Roermondse,Roermond,De Roermondse bevolking is vriendelijk,The Roermond population is friendly
Online,online,Online winkelen is populair,Online shopping is popular
halfpension,half board,Het hotel biedt halfpension,The hotel offers half board
gewassen,washed,De auto is gewassen,The car is washed
interpreteren,interpret,Interpreteer de tekst,Interpret the text
surfen,surf,Zij surfen op het internet,They surf the internet
Spoorwegen,railways,De spoorwegen zijn efficiënt,The railways are efficient
constructies,constructions,De constructies zijn sterk,The constructions are strong
allure,allure,Het heeft allure,It has allure
sportief,sporty,Hij is sportief,He is sporty
kleppen,valves,De kleppen moeten worden vervangen,The valves must be replaced
betalingen,payments,De betalingen zijn ontvangen,The payments are received
dwingt,forces,Hij dwingt respect af,He commands respect
regisseurs,directors,De regisseurs maken films,The directors make films
vastleggen,capture,Zij leggen het moment vast,They capture the moment
samenwerkingsverband,partnership,Het samenwerkingsverband is succesvol,The partnership is successful
grootse,grand,Het was een groots project,It was a grand project
Vrijdag,Friday,Vrijdag is de vijfde dag,Friday is the fifth day
Bergen,mountains,De bergen zijn hoog,The mountains are high
Beweging,movement,De beweging groeit,The movement grows
soepele,flexible,Het is een soepele stof,It is a flexible fabric
Oscar,Oscar,Hij won een Oscar,He won an Oscar
Banken,banks,De banken zijn gesloten,The banks are closed
besefte,realized,Hij besefte de waarheid,He realized the truth
Grieken,Greeks,De Grieken bouwden tempels,The Greeks built temples
KMO's,SMEs,KMO's zijn belangrijk voor de economie,SMEs are important for the economy
Intranet,intranet,Het intranet is toegankelijk,The intranet is accessible
raak,touch,Raak het niet aan,Do not touch it
Water,water,Water is essentieel,Water is essential
beoordeeld,assessed,Het werk werd beoordeeld,The work was assessed
zwangerschap,pregnancy,De zwangerschap verloopt goed,The pregnancy goes well
bezoekt,visits,Hij bezoekt zijn familie,He visits his family
woud,forest,Het woud is dicht,The forest is dense
Film,film,De film begint om acht uur,The film starts at eight o'clock
dreef,drove,Hij dreef de koeien naar de weide,He drove the cows to the meadow
verzorgde,cared for,Zij verzorgde de zieke,She cared for the sick
demonstraties,demonstrations,De demonstraties waren vreedzaam,The demonstrations were peaceful
aanbevelingen,recommendations,De aanbevelingen zijn nuttig,The recommendations are useful
verhuist,moves,Hij verhuist naar een andere stad,He moves to another city
veruit,by far,Hij is veruit de beste,He is by far the best
begreep,understood,Hij begreep de vraag,He understood the question
parlementslid,member of parliament,Het parlementslid stemt,The member of parliament votes
gespaard,spared,Hij werd gespaard,He was spared
tussenkomst,intervention,Zijn tussenkomst was nodig,His intervention was necessary
On,on,On the table,On the table
negentien,nineteen,Het is negentien graden,It is nineteen degrees
beklemtoont,emphasizes,Hij beklemtoont het belang,He emphasizes the importance
Stephen,Stephen,Stephen is een Engelse naam,Stephen is an English name
Verwacht,expected,Verwacht het onverwachte,Expect the unexpected
Carlos,Carlos,Carlos komt uit Spanje,Carlos comes from Spain
market,market,The market is open,The market is open
kilogram,kilogram,Het weegt een kilogram,It weighs one kilogram
sombere,gloomy,Het is een sombere dag,It is a gloomy day
Extra,extra,Extra groot graag,Extra large please
bv,for example,Bv appel of peer,For example apple or pear
effectieve,effective,Het is een effectieve methode,It is an effective method
voegde,added,Hij voegde zout toe,He added salt
vertaalt,translates,Hij vertaalt van Nederlands naar Engels,He translates from Dutch to English
Zondag,Sunday,Zondag is een rustdag,Sunday is a day of rest
